,Title,Price,Date
0,P94593029,94593029,3726-11-14
1,P79645983,79645983,3393-12-29
2,P97835398,97835398,1445-09-01
3,P94203178,94203178,3082-07-10
4,P14032790,14032790,2873-04-08
5,P12694127,12694127,1577-05-10
6,P48987681,48987681,3998-10-30
7,P41357777,41357777,1161-03-29
8,P85934167,85934167,1665-08-19
9,P61079932,61079932,1067-07-31
10,P1212849,1212849,3288-01-29
11,P99257771,99257771,2870-06-05
12,P99249654,99249654,1269-05-03
13,P20410475,20410475,1136-04-05
14,P30473815,30473815,2420-04-24
15,P53328404,53328404,3164-09-24
16,P83949788,83949788,2192-08-14
17,P16955893,16955893,2996-08-30
18,P43108939,43108939,3895-04-25
19,P7257265,7257265,1806-01-08
20,P47918235,47918235,3572-05-04
21,P71552470,71552470,1856-02-28
22,P35285776,35285776,2731-12-15
23,P18833860,18833860,1329-03-09
24,P40847411,40847411,1281-12-05
25,P14692524,14692524,2884-06-22
26,P22698060,22698060,1929-04-20
27,P85726869,85726869,3380-06-07
28,P38206179,38206179,3598-03-26
29,P19676323,19676323,1353-02-19
30,P30057867,30057867,3700-01-20
31,P71491642,71491642,2077-09-01
32,P12938702,12938702,2203-04-01
33,P11483884,11483884,3558-01-16
34,P57691379,57691379,3045-01-04
35,P37070143,37070143,2299-11-30
36,P92440341,92440341,1419-02-25
37,P48107688,48107688,2897-09-12
38,P80715012,80715012,1954-01-31
39,P66288499,66288499,1208-06-17
40,P61278123,61278123,2950-08-06
41,P80656441,80656441,2202-09-10
42,P75223062,75223062,3370-05-14
43,P82241764,82241764,1586-12-16
44,P44557602,44557602,3426-03-22
45,P75881753,75881753,3847-06-18
46,P44776559,44776559,2760-03-10
47,P21320863,21320863,2115-06-10
48,P16464325,16464325,1763-06-08
49,P99016611,99016611,2346-09-04
50,P33407824,33407824,2871-12-19
51,P62157457,62157457,2982-11-21
52,P56698480,56698480,1937-08-03
53,P54709282,54709282,1486-07-10
54,P55458287,55458287,1081-03-10
55,P26098212,26098212,1882-04-29
56,P68650574,68650574,1050-01-07
57,P36466959,36466959,1203-07-21
58,P63008777,63008777,1879-06-15
59,P69202580,69202580,3146-12-16
60,P61712811,61712811,1345-01-15
61,P33529705,33529705,3114-09-09
62,P57365890,57365890,3577-02-13
63,P51886723,51886723,2428-07-21
64,P23502741,23502741,2524-02-11
65,P55664105,55664105,3006-10-17
66,P99343005,99343005,2737-04-18
67,P28733767,28733767,1318-02-25
68,P91848563,91848563,1171-12-10
69,P80194791,80194791,3712-02-17
70,P10513208,10513208,1380-04-12
71,P35776882,35776882,1410-09-11
72,P52071811,52071811,1877-09-05
73,P80807742,80807742,2232-02-09
74,P73017508,73017508,1080-05-28
75,P83883621,83883621,3853-05-30
76,P84620179,84620179,2214-02-17
77,P75896257,75896257,3288-05-05
78,P65450386,65450386,3289-06-01
79,P69719456,69719456,1756-02-20
80,P19136474,19136474,2099-05-11
81,P46907657,46907657,2613-10-21
82,P12665978,12665978,1537-11-01
83,P23644745,23644745,1701-06-25
84,P90248623,90248623,2679-07-03
85,P176600,176600,2811-06-18
86,P76810330,76810330,1617-12-15
87,P98039794,98039794,3484-12-10
88,P17496016,17496016,3026-12-30
89,P90132168,90132168,1684-10-11
90,P48475657,48475657,1302-05-19
91,P65071994,65071994,3483-10-07
92,P76191633,76191633,2897-07-17
93,P56929383,56929383,2042-12-29
94,P92016986,92016986,3463-03-01
95,P21816738,21816738,3037-09-17
96,P92186239,92186239,1422-11-15
97,P26452721,26452721,3779-10-14
98,P47156812,47156812,1415-01-26
99,P27799631,27799631,1742-06-01
100,P73443527,73443527,1421-01-29
101,P88939007,88939007,3033-11-14
102,P48051863,48051863,3599-12-12
103,P22765031,22765031,1327-10-17
104,P40436341,40436341,2867-04-14
105,P54942675,54942675,3104-09-25
106,P41063138,41063138,2927-02-07
107,P91307323,91307323,2751-12-17
108,P45988121,45988121,3233-07-03
109,P28871427,28871427,2006-10-12
110,P39832224,39832224,1384-05-08
111,P62602147,62602147,2632-07-23
112,P71660321,71660321,1823-08-20
113,P86482077,86482077,1629-01-25
114,P52064176,52064176,3030-12-08
115,P95787487,95787487,3857-03-19
116,P66145089,66145089,3938-08-28
117,P34244631,34244631,3349-03-29
118,P71612063,71612063,2140-06-29
119,P64832334,64832334,1395-10-12
120,P9935081,9935081,1847-04-15
121,P51888541,51888541,1075-05-01
122,P91347184,91347184,2850-09-06
