,Title,Price,Date
0,P71603983,71603983,1537-02-27
1,P74639193,74639193,3481-02-14
2,P58579057,58579057,2305-05-25
3,P88411960,88411960,2665-05-11
4,P60537105,60537105,1590-06-04
5,P41141883,41141883,1395-05-21
6,P27353185,27353185,1536-11-12
7,P5384694,5384694,3315-12-19
8,P14835363,14835363,3779-09-25
9,P79061352,79061352,1479-05-21
10,P29237794,29237794,2667-04-25
11,P41597507,41597507,1509-03-27
12,P72100647,72100647,3716-04-07
13,P30850602,30850602,2052-02-12
14,P56474254,56474254,1064-09-12
15,P67595384,67595384,2499-02-21
16,P15165809,15165809,1905-11-27
17,P99794624,99794624,2809-11-27
18,P42108229,42108229,3601-03-29
19,P46302930,46302930,3229-01-10
20,P39154630,39154630,3285-11-06
21,P39577663,39577663,3741-02-13
22,P38225099,38225099,2211-12-12
23,P13196222,13196222,2336-04-05
24,P44493998,44493998,3067-10-28
25,P57545469,57545469,3554-12-10
26,P75529505,75529505,2854-03-09
27,P13345468,13345468,3807-11-25
28,P86990163,86990163,2399-07-27
29,P83937694,83937694,1968-06-23
30,P70103366,70103366,1835-01-27
31,P30674073,30674073,2058-08-17
32,P98563477,98563477,3770-08-08
33,P43576136,43576136,1934-03-18
34,P26083615,26083615,3202-07-20
35,P35305129,35305129,3757-04-13
36,P42087401,42087401,3793-09-16
37,P60017584,60017584,3056-07-11
38,P77337839,77337839,1031-07-22
39,P26868604,26868604,2338-08-30
40,P38939261,38939261,3583-07-26
41,P33136569,33136569,2712-07-08
42,P83620700,83620700,3319-02-21
43,P78245242,78245242,2675-09-23
44,P19867330,19867330,2567-02-05
45,P37773106,37773106,1235-02-21
46,P98237374,98237374,1525-11-11
47,P82962078,82962078,2158-05-29
48,P95311327,95311327,2146-04-26
49,P13199686,13199686,3478-03-13
50,P44239994,44239994,2239-08-28
51,P25839426,25839426,3272-05-26
52,P91918626,91918626,3138-06-11
53,P43937829,43937829,1473-04-24
54,P7982121,7982121,1477-11-25
55,P86120660,86120660,3682-03-06
56,P24035532,24035532,2777-12-06
57,P34402356,34402356,2394-03-10
58,P89170952,89170952,2994-11-04
59,P23892269,23892269,2276-10-11
60,P16889245,16889245,3434-02-22
61,P24382034,24382034,1569-05-12
62,P83312037,83312037,1877-11-03
63,P11167935,11167935,3555-12-29
64,P29107629,29107629,1429-12-28
65,P8595800,8595800,2594-08-18
66,P24514415,24514415,2048-01-15
67,P51116439,51116439,1129-08-29
68,P47593104,47593104,1213-04-23
69,P91104790,91104790,2631-03-24
70,P5578858,5578858,3247-04-23
71,P51795835,51795835,2020-05-07
72,P93845576,93845576,1302-03-28
73,P90370984,90370984,2850-02-20
74,P72686356,72686356,2502-06-09
75,P21120250,21120250,2324-09-15
76,P96967215,96967215,2210-07-31
77,P57396828,57396828,3936-01-23
78,P53096588,53096588,2579-10-07
79,P30508914,30508914,1642-01-16
80,P34905175,34905175,2022-03-02
81,P18897217,18897217,3498-10-19
82,P17681064,17681064,2644-07-01
83,P10436538,10436538,2067-05-18
84,P50211143,50211143,1866-10-11
85,P39865064,39865064,2758-02-27
86,P82883207,82883207,2117-03-16
87,P54424473,54424473,2883-08-12
88,P19016338,19016338,1992-04-11
89,P31168579,31168579,3030-04-18
90,P52387801,52387801,2336-10-13
91,P48146032,48146032,1179-03-28
92,P46748592,46748592,3738-06-11
93,P79997574,79997574,1399-11-12
94,P45603248,45603248,1321-06-25
95,P45514979,45514979,1733-12-23
96,P49244929,49244929,1084-07-14
97,P67959104,67959104,3272-03-09
98,P3753599,3753599,3320-02-10
99,P15991030,15991030,3925-06-01
100,P41669017,41669017,1433-04-11
101,P94277825,94277825,2231-04-03
102,P85741272,85741272,3300-08-21
103,P85770199,85770199,3906-01-16
104,P17176294,17176294,2320-11-19
105,P32495122,32495122,1588-01-26
106,P50210015,50210015,2442-02-19
107,P49707229,49707229,3022-12-26
108,P32775636,32775636,2015-10-03
109,P62314339,62314339,3536-06-20
110,P84486603,84486603,1237-04-19
111,P86742768,86742768,1856-03-13
112,P594299,594299,2481-02-16
113,P42342013,42342013,1799-12-30
114,P73250644,73250644,3165-09-26
115,P88321803,88321803,3821-02-21
116,P66875525,66875525,1884-07-28
117,P87509165,87509165,1857-09-23
118,P90044544,90044544,2485-05-08
119,P16455644,16455644,1280-09-08
120,P33413098,33413098,1033-02-25
121,P15401252,15401252,2885-07-29
122,P52702073,52702073,2152-01-09
123,P9984882,9984882,1527-05-08
124,P89443160,89443160,2521-05-16
125,P15784915,15784915,2532-03-23
126,P99370881,99370881,3429-04-27
127,P86854513,86854513,1230-10-29
128,P17176811,17176811,3218-11-15
129,P69730797,69730797,2635-12-04
130,P93261844,93261844,1300-08-27
131,P40066806,40066806,1945-08-08
132,P16579756,16579756,2261-02-26
133,P28689170,28689170,1490-05-27
134,P52314281,52314281,3152-12-04
135,P57055761,57055761,3897-05-28
136,P18782820,18782820,3936-05-01
137,P68719400,68719400,3754-08-07
138,P33634646,33634646,2376-11-19
139,P86542622,86542622,2685-05-31
140,P75169564,75169564,1352-04-25
141,P16897796,16897796,1167-02-18
142,P67227791,67227791,2356-03-13
143,P3584458,3584458,3199-09-01
144,P71731338,71731338,1682-02-02
145,P20824923,20824923,3977-09-28
146,P24479125,24479125,3461-03-02
147,P48118145,48118145,2213-03-26
148,P25832016,25832016,2702-04-10
149,P56434554,56434554,3202-12-23
150,P47528162,47528162,1495-09-23
151,P82934937,82934937,3966-05-28
152,P94076829,94076829,3967-03-25
153,P68366760,68366760,1125-09-05
154,P39342453,39342453,2013-12-21
155,P76909329,76909329,3328-05-19
156,P97708271,97708271,3848-02-28
157,P8021585,8021585,3140-07-02
158,P73850607,73850607,2761-08-25
159,P7243362,7243362,3478-06-15
160,P12296437,12296437,3677-11-23
161,P65398866,65398866,3197-04-23
162,P8201377,8201377,1098-09-18
163,P73114757,73114757,3820-12-24
164,P11986278,11986278,3081-06-19
165,P80082073,80082073,1763-04-02
166,P31378097,31378097,3268-06-21
167,P46826987,46826987,1278-04-08
168,P15557518,15557518,2031-07-06
169,P32378144,32378144,3287-10-29
170,P17131452,17131452,1592-12-10
171,P69459678,69459678,1772-10-10
172,P69461367,69461367,3535-07-29
173,P8371820,8371820,1254-10-17
174,P75863584,75863584,3440-02-21
175,P23672735,23672735,2336-07-31
176,P2902150,2902150,2277-09-13
177,P68288860,68288860,3309-03-08
178,P58158585,58158585,3418-07-24
179,P3214004,3214004,1448-08-12
180,P44494636,44494636,3107-04-30
181,P2183084,2183084,3040-03-06
182,P97428909,97428909,1353-11-02
183,P55216257,55216257,3214-07-07
184,P91759153,91759153,3009-11-10
185,P7346790,7346790,3732-07-07
186,P97888332,97888332,2282-06-24
187,P94524072,94524072,2465-03-14
188,P39404340,39404340,3365-05-16
189,P19352002,19352002,3918-05-18
190,P94180479,94180479,3969-03-29
191,P25130821,25130821,2334-07-18
192,P91766248,91766248,3827-11-12
193,P30370365,30370365,2489-08-02
194,P45063779,45063779,3200-04-13
195,P32018519,32018519,2767-12-08
196,P6397189,6397189,1081-06-16
197,P84241087,84241087,2347-02-07
198,P25634096,25634096,1001-02-23
199,P98602866,98602866,2643-06-16
200,P14948053,14948053,2205-06-20
201,P97596174,97596174,2928-03-25
202,P75545356,75545356,1019-11-18
203,P721420,721420,1274-06-06
204,P83576819,83576819,2096-05-25
205,P46271057,46271057,1237-06-18
206,P11103461,11103461,1679-01-09
207,P23857803,23857803,3608-10-12
208,P1896820,1896820,2600-01-20
209,P13737764,13737764,1690-06-02
210,P57363376,57363376,2125-03-19
211,P73107518,73107518,2293-05-31
212,P2716430,2716430,2504-02-19
213,P18990055,18990055,3753-07-10
214,P58874479,58874479,1815-01-06
215,P70177425,70177425,2065-12-18
216,P36632015,36632015,1185-03-18
217,P41680408,41680408,3087-04-26
218,P51721657,51721657,2438-05-05
219,P90712178,90712178,2896-12-18
220,P83497892,83497892,3304-06-20
221,P56440815,56440815,2894-01-07
222,P53870296,53870296,1233-08-24
223,P37802968,37802968,2351-09-19
224,P19473129,19473129,3333-07-13
225,P21390033,21390033,2754-09-24
226,P63821598,63821598,1373-03-30
227,P60863735,60863735,3823-02-13
228,P7041832,7041832,3864-01-14
229,P16405493,16405493,1434-06-14
230,P17635211,17635211,2234-01-09
231,P35117926,35117926,1164-10-21
232,P2007595,2007595,2942-08-28
233,P71098757,71098757,3416-07-13
234,P4043376,4043376,1131-02-26
235,P11099848,11099848,1762-12-17
236,P23691138,23691138,2937-07-28
237,P45266912,45266912,2755-08-23
238,P63067123,63067123,1900-11-23
239,P59386625,59386625,2341-04-11
240,P57468655,57468655,1086-02-21
241,P75979220,75979220,2227-09-18
242,P3088707,3088707,3959-03-05
243,P19582377,19582377,3021-03-05
244,P73956866,73956866,2433-11-10
245,P85538118,85538118,1783-03-10
246,P95436021,95436021,2016-04-20
247,P18354657,18354657,1045-06-23
248,P99067641,99067641,2616-03-14
249,P33376593,33376593,3826-04-14
